,score,variable
100,0.5651077380981554,"['V28', 'V25', 'V14', 'V7', 'V30', 'V26', 'V10', 'V8', 'V5', 'V3', 'V6', 'V12', 'V18', 'V1', 'V17', 'V29', 'V23', 'V22', 'V9', 'V13']"
101,0.4994636230941034,"['V28', 'V22', 'V26', 'V8', 'V13', 'V20', 'V15', 'V29', 'V11', 'V6', 'V3', 'V23', 'V12', 'V4', 'V10', 'V24', 'V25', 'V5', 'V2', 'V30']"
102,0.6143408243511944,"['V23', 'V20', 'V9', 'V28', 'V22', 'V18', 'V13', 'V8', 'V7', 'V15', 'V25', 'V10', 'V12', 'V5', 'V29', 'V14', 'V30', 'V21', 'V11', 'V16']"
103,0.7456290543592985,"['V4', 'V17', 'V18', 'V1', 'V27', 'V12', 'V21', 'V29', 'V24', 'V22', 'V7', 'V9', 'V5', 'V11', 'V23', 'V20', 'V10', 'V3', 'V25', 'V6']"
104,0.8769172843674025,"['V19', 'V23', 'V2', 'V16', 'V21', 'V15', 'V18', 'V13', 'V1', 'V22', 'V24', 'V29', 'V11', 'V4', 'V30', 'V17', 'V14', 'V6', 'V28', 'V10']"
105,0.5322856805961294,"['V23', 'V15', 'V28', 'V30', 'V2', 'V14', 'V1', 'V3', 'V5', 'V20', 'V26', 'V4', 'V9', 'V10', 'V13', 'V11', 'V29', 'V6', 'V25', 'V27']"
106,0.6307518531022074,"['V12', 'V14', 'V17', 'V23', 'V5', 'V13', 'V28', 'V21', 'V8', 'V10', 'V29', 'V15', 'V16', 'V24', 'V9', 'V11', 'V19', 'V20', 'V7', 'V1']"
107,0.5815187668491684,"['V28', 'V8', 'V5', 'V14', 'V17', 'V22', 'V12', 'V26', 'V15', 'V24', 'V29', 'V16', 'V27', 'V13', 'V25', 'V3', 'V2', 'V7', 'V21', 'V19']"
108,0.5815187668491684,"['V26', 'V11', 'V7', 'V14', 'V6', 'V2', 'V24', 'V29', 'V3', 'V12', 'V21', 'V16', 'V15', 'V20', 'V9', 'V17', 'V13', 'V22', 'V30', 'V5']"
109,0.6963959681062595,"['V3', 'V17', 'V1', 'V19', 'V7', 'V11', 'V18', 'V8', 'V4', 'V6', 'V25', 'V20', 'V5', 'V9', 'V10', 'V14', 'V2', 'V27', 'V13', 'V22']"
110,0.6307518531022074,"['V1', 'V23', 'V11', 'V13', 'V14', 'V7', 'V27', 'V22', 'V24', 'V2', 'V3', 'V10', 'V8', 'V18', 'V30', 'V21', 'V12', 'V17', 'V25', 'V28']"
111,0.5322856805961294,"['V19', 'V8', 'V28', 'V1', 'V12', 'V4', 'V3', 'V11', 'V14', 'V22', 'V16', 'V20', 'V5', 'V30', 'V13', 'V23', 'V27', 'V21', 'V26', 'V9']"
112,0.5815187668491684,"['V26', 'V28', 'V1', 'V3', 'V29', 'V12', 'V21', 'V15', 'V14', 'V5', 'V18', 'V8', 'V16', 'V23', 'V6', 'V7', 'V11', 'V4', 'V2', 'V25']"
113,0.5651077380981554,"['V8', 'V10', 'V9', 'V18', 'V29', 'V2', 'V23', 'V20', 'V12', 'V4', 'V15', 'V7', 'V27', 'V22', 'V16', 'V24', 'V21', 'V3', 'V25', 'V5']"
114,0.5322856805961294,"['V23', 'V1', 'V11', 'V25', 'V3', 'V8', 'V12', 'V19', 'V18', 'V7', 'V5', 'V22', 'V2', 'V26', 'V20', 'V27', 'V28', 'V13', 'V17', 'V21']"
115,0.5158746518451164,"['V16', 'V26', 'V10', 'V6', 'V22', 'V25', 'V3', 'V7', 'V2', 'V23', 'V12', 'V24', 'V30', 'V29', 'V9', 'V13', 'V19', 'V15', 'V14', 'V11']"
116,0.5815187668491684,"['V11', 'V14', 'V9', 'V17', 'V13', 'V24', 'V22', 'V15', 'V8', 'V2', 'V18', 'V1', 'V21', 'V3', 'V30', 'V7', 'V12', 'V28', 'V23', 'V10']"
117,0.5651077380981554,"['V8', 'V2', 'V14', 'V3', 'V5', 'V21', 'V7', 'V29', 'V12', 'V28', 'V20', 'V9', 'V24', 'V13', 'V1', 'V22', 'V27', 'V4', 'V10', 'V16']"
118,0.6799849393552464,"['V24', 'V9', 'V17', 'V16', 'V23', 'V2', 'V21', 'V18', 'V15', 'V13', 'V28', 'V25', 'V1', 'V20', 'V29', 'V7', 'V11', 'V19', 'V8', 'V27']"
119,0.5815187668491684,"['V6', 'V15', 'V5', 'V26', 'V21', 'V8', 'V20', 'V7', 'V25', 'V28', 'V18', 'V3', 'V27', 'V17', 'V16', 'V9', 'V1', 'V4', 'V22', 'V14']"
120,0.5815187668491684,"['V23', 'V24', 'V14', 'V30', 'V25', 'V21', 'V28', 'V22', 'V11', 'V8', 'V26', 'V16', 'V15', 'V29', 'V10', 'V9', 'V7', 'V13', 'V4', 'V17']"
121,0.4994636230941034,"['V14', 'V27', 'V18', 'V17', 'V26', 'V6', 'V28', 'V21', 'V23', 'V25', 'V29', 'V9', 'V15', 'V5', 'V24', 'V22', 'V10', 'V20', 'V7', 'V30']"
122,0.5651077380981554,"['V21', 'V29', 'V15', 'V12', 'V23', 'V18', 'V3', 'V22', 'V24', 'V13', 'V17', 'V4', 'V5', 'V16', 'V20', 'V8', 'V30', 'V9', 'V26', 'V25']"
